Disease ,Gender,Below Ten,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Diabetes Mellitus with Hyperosmolar Coma,Female,common,increased urination,Increased thirst,polyphagia,Weight loss,Weakness,Vomiting,Lack of appetite,Depression,stupor,Coma,Hypothermia,,,,
Roundworms,Both,Below Ten,Potbelly,Weakness,Diarrhea,Vomiting,Belly pain,Dull coat,Weight loss,Malnourishment,,,,,,,
Adenocarcinoma - Prostate,Male,Below Five,Tenesmus,Weight loss,Stranguria and Dysuria,Lameness,Weakness,Lethargy,Exercise intolerance,,,,,,,,
Entropion,Both,Below Five,Squinting,Excessive tearing,Eye discharge,Apparent swelling around eyes,Rubbing at eyes,Eye redness,Conjunctivitis,Excessive blinking,blepharospasms,Corneal ulcers,,,,,
Osteochondrosis,Male,Below Five,Lameness,joint effusion,reduced range of motion in affected joints,include the head of the humerus,the medial aspect of the humeral condyle,the femoral condyles,the trochlear ridges of the talus,,,,,,,,
Dysautonomia,Both,common,Vomiting,Dilated pupils,Low or absent anal tone,Diarrhea,Straining,Difficulty urinating or defecating,Distended bladder,Decreased tear production,Protrusion of third eyelid,,,,,,
Iron Toxicosis,Both,common,Vomiting,Pain and swelling in the abdomen,Loss of Appetite,Weight loss,Agitation,Fast heartbeat,Low blood pressure,Extreme tiredness,Shock,Seizure,Depression,Fever,Jaundice,Diarrhea,Muscle Tremors
Cardiopulmonary Arrest ,Both,Below Ten,Lack of response to stimulation,Loss of consciousness,Agonal gasping or absence of ventilation,Absence of peripheral pulses,Hypothermia,Absence of audible heart sounds,,,,,,,,,
Adenocarcinoma - Lung,Both,common,Rapid breathing,Extreme tiredness,Difficulty breathing,Fever,Weakness,Weight loss,Vomiting,Bloody,Loss of Appetite,Muscle pain and Weakness,,,,,
Pneumonia- Bacterial,Male,Below Ten,Coughing,Labored breathing,Exercise intolerance,Weight loss,Lethargy,Nasal discharge,Fever,Difficult or rapid breathing,Abnormal breath sounds,crackles and wheezes,Weight loss,Nasal discharge,Lethargy,Dehydration,
Hypertrophic Pyloric Gastropathy-Chronic,Both,common,Vomiting,Vomiting,Vomiting,Regurgitation,Failure to gain weight,Weight loss,Thirst,Aspiration pneumonia,,,,,,,
Cheyletiellosis ,Both,common,Scaling,diffuse or plaque-like,walking dandruff,revalence varies by geographic region owing,low or no incidence of the mit,Lesions,Underlying skin irritation may be minimal,,,,,,,,
Dermatoses-Depigmenting Disorders,Both,Below Ten,Leukotrichia or the whitening of the hair,skin pigment disappearing,Lightening of the skin color,Erythema,Ulceration of the skin or loss of some of the skin,,,,,,,,,,
Housesoiling,Male,common,Confusion,Anxiety,Urinary tract disorders,Bladder disorders,Stomach disorders,Licking the genital areas,Overexcitement,Acting fearful,,,,,,,
Demodicosis,Both,Below Ten,Hair loss in patches,Rubbing their face or head,Redness or inflammation of the skin,Excessive oil on the skin,Crusting on the skin,Paws that are swelling,,,,,,,,,
Clostridial Enterotoxicosis ,Both,common,Diarrhea,Diarrhea,gastrointestinal,Chronic,4?6 weeks that may persist for months to years,precipitated during or shortly,acute hemorrhagic gastroenteritis,,,,,,,,
Pyelonephritis,Both,Below Ten,Maybe Asymptomatic,Polyuria or Polydipsia,Abdominal or lumbar pain,Signs associated with lower urinary tract,infection,Dysuria,Pollakiuria,periuria Stranguria,MalOdorous,Pain upon palpation of kidneys,Fever,,,,
Apudoma,Both,common,Weight loss,Vomiting,Vomiting,Diarrhea,Depression,Lethargy,Pain in the abdomen,Dried blood in the stool (Melena),Fresh blood in the stool,Acid reflux,Ulcers,Gastritis,,,
Protein-Losing Enteropathy,Both,Below Ten,Diarrhea,weight loss,dogs with PLE have normal stools.,weight gain,Ascites,dependent edema,Abdominal palpation may reveal thickened bowel loops,,,,,,,,
Meningioma ,Female,Below Ten,Vary with tumor location,Typically chronic,focal ischemia,Lateralizing deficits predominate,Elevated ICP,cerebral edema or brain herniation,,,,,,,,,
Thymoma,Both,Below Ten,Difficulty swallowing,Exercise intolerance,"Swelling of the face, neck or front limbs",Vomiting,Weakness,Increased thirst,Increased urination,Weight loss,,,,,,,
Degenerative Myelopathy,Both,common,Swaying in the hind end when standing,Easily falls over if pushed,Wobbling,Knuckling of the paws when trying to walk,Feet scraping on the ground when walking,Abnormally worn toenails,Difficulty walking,Difficulty getting up from a sitting,Falling down when walking or standing,Inability to walk,Paralysis of the hind limbs,Difficulty with swallowing and tongue movements,Urinary and fecal incontinence,limbs,
Lily Toxicosis,Both,common,Vomiting,Depression,Vomiting,both persist throughout the syndrome,Polyuria and Dehydration,leads to anuric renal failure,Weakness,Recumbency by 2 to 4 days,,,,,,,
Mucopolysaccharidoses ,Both,common,Severe bone disease,hip subluxation,Corneal clouding,illness,Large tongue,Thickening of the heart valves,Excess urinary excretion of GAG,Metachromatic granules in blood leukocytes,locomotor difficulty is progressive,head or neck usually painful,,,,,
Megaesophagus ,Both,Below Five,Vomiting,Vomiting,Regurgitation,dysphagia,Coughing,Nasal discharge with aspiration pneumonia,ravenous appetite or inappetence,Weight loss,Ptyalism and Halitosis,Dysphonia,Other signs depend upon underlying etiology,Cervical swelling,representing a distended cervical esophagus,Ptyalism,Halitosis
Actinomycosis,Male,Below Five,Infections usually localized,may be disseminated,cervicofacial area commonly involved.,Cutaneous swellings or abscesses with draining tracts,Pain,fever,Weight loss,Exudative pleural or peritoneal effusions,Coughing,dyspnea,decreased ventral lung sounds,Retroperitonitis lumbar pain,rear limb paresis,redness,
Lens Luxation ,Both,Below Ten,Lens instability and subluxation,fibrils of liquefied vitreous,abnormally shallow or deep anterior chamberm,abnormal iris curvature,phacodenesis,iridonesis,aphakic crescent,Lens luxation,anterior,posterior,Can have same signs as lens subluxation,chronically painful eye,,,
Perianal Fistula,Both,common,Dyschezia,Tenesmus,Hematochezia,Constipation,Diarrhea,MalOdorous,Ulceration of the perianal skin with sinus tract formation,Licking and self-mutilation,Reluctance to sit,posturing difficulties,personality changes,Pain on manipulation perianal area,Fecal incontinence,Anorexia,Weight loss
Nasal discharge ,Both,common,Sneezing,Reverse Sneezing,Unilaterally,Stertor,noisy breathing especially when animal is sleeping,Response to previous antibiotic therapy,Secretions or dried,Concurrent dental,nasopharyngeal or lower airway disease,fourth premolar abscess,swelling,Depigmentation,Mandibular lymphadenomegaly neoplasia,fungal infection,Sneezing
Neosporosis ,Both,common,Similar to those of toxoplasmosis,muscular abnormalities predominate,ascending lower motor neuron rigid paralysis,distinguished,Stiffness,progresses to rigid contracture of limbs,Weakness,trismus,glossal paralysis,gradually develop,respiratory muscle paralysis,Ataxia,Seizures,Tremors,behavior changes
Metformin Toxicosis ,Both,common,Vomiting,Lethargy,Depression,Anorexia,hypothermia,,,,,,,,,,
Pyoderma,Both,common,Superficial usually involves the trunk,obscured by hair coat,affects the chin or bridge of the nose,Systemic illness,staphylococcal infection itself,may not be pruritic if associated with hypercortisolemia,Papules,Pustules,Crusted Papules,Crusts,Epidermal collarettes,Circular erythematous or hyperpigmented patches,Alopecia,moth-eaten hair coat,Hemorrhagic bullae
Notoedric Mange ,Both,Below Five,Non-seasonal intense Pruritus,initial Pruritus,Change from mild Pruritus,not develop severe Pruritus,Papules and crusts develop on pinnae,Progresses to the legs and feet and perineum,Lesions,Skin becomes thickened,gray-yellow crust,Large patches of lesions,Peripheral lymphadenopathy,,,,
Ductal Plate Malformation,Both,Below Five,Gastrointestinal signs,Poor body condition,Abdominal effusion,Diarrhea,Fever,Choledochal cyst,,,,,,,,,
Anemia - Aplastic,Both,common,Red or purple spots on the surface,skin that is due to tiny Hemorrhages,Recurrent infections,Blood in the urine,Nosebleeds from no known cause,Pale mucous membranes,Weight loss,Vomiting,Weakness,,,,,,
Atrial Premature Complexes,Both,Below Ten,CHF,Coughing,Exercise intolerance,Syncope,Irregular heart rhythm,Cardiac murmur,Gallop rhythm,Signs of CHF,,,,,,,
Prostatitis and Prostatic Abscess,Male,common,Lethargy,Anorexia,Tenesmus,Dysuria,Pyrexia,Pain at prostatic or caudal abdominal palpation,Sanguineous urethral discharge,Stiff hindlimb gait,Septic shock,,,,,,
Snake Venom Toxicosis?Pit Vipers,Both,common,Visible bite marks,Pain,Swelling,Agitation,Breathing trouble,Vomiting,Diarrhea,Dizziness,Extreme sleepiness,Trouble walking,Fainting,Shock,Death,,
Nasal and Nasopharyngeal Polyps ,Both,common,Chronic,Noisy breathing,Nasal congestion or discharge,Sneezing,Unilateral,Generally non-responsive to antibiotics,Nasopharyngeal or Aural Polyps,Stridor,Gagging,Cyanosis,Voice change,Dysphagia,Chronic,ataxia,Head tilt
Tetralogy of Fallot,Both,Below Five,Weakness,Dyspnea or shortness of breath,Exercise intolerance,Slower rate of growth than littermates,Fainting,Seizures,Cyanosis,,,,,,,,
Diarrhea- Antibiotic Responsive,Both,Below Ten,Diarrhea,Diarrhea,Loss of Appetite,Weight loss,Straining when having bowel movement,Intestinal sounds,Gas,,,,,,,,
Diabetes Mellitus with Hyperosmolar Coma,Female,common,increased urination,Increased thirst,polyphagia,Weight loss,Weakness,Vomiting,Lack of appetite,Depression,stupor,Coma,Hypothermia,,,,
Gastritis-Chronic,Both,Below Ten,Abdominal pain,indigestion,Bloating,Nausea,Vomiting,Belching,Loss of Appetite,Weight loss,Diarrhea,,,,,,
Epulis,Both,Below Ten,Bleeding from mass,Difficulty chewing,Displaced teeth,Drooling,Loss of Appetite,Pink and raised growth,Reduced activity level,Swelling of jaw bones,Tooth loss,Unusually Bad breath,Weight loss,,,,
Meningioma ,Female,common,Vary with tumor location,Typically chronic,focal ischemia,Lateralizing deficits predominate,Elevated ICP,cerebral edema or brain herniation,,,,,,,,,
Congestive Heart Failure Left-Sided ,Both,common,relieved by assuming a standing,Lethargy,Weakness,sternal,Exercise intolerance,Coughing,,,,,,,,,
Congestive Heart Failure Right-Sided ,Both,common,Lethargy,Exercise intolerance,Abdominal distension,Weakness,Dyspnea,tachypnea,,,,,,,,,
Atrial Fibrillation and Atrial Flutter,Both,common,Galloping heart,Exercise intolerance,Weakness,Coughing,Dyspnea,Tachypnea,Lethargy,Syncope,Loss of consciousness,,,,,,
Horners Syndrome,Both,common,Drooping of the eyelid,Constricted pupil of the affected eye,Sunken appearance of the affected eye,third eyelid,Vision may be impaired,,,,,,,,,,
Premature Labor,Female,common,Early no signs,fetal resorption evident,Later Vulvar discharge,hemorrhagic or lochial,History of unexplained loss of pregnancy,,,,,,,,,,
Myopathy - Noninflammatory - Endocrine ,Both,Below Ten,Weakness,Stiffness,Regurgitation,Dysphagia,Dysphonia,Stiffness,cramping and myalgia,Muscle hypertrophy or atrophy,illness,,,,,,
Hypertrophic Pyloric Gastropathy-Chronic,Both,common,Vomiting,Vomiting,Vomiting,Regurgitation,Failure to gain weight,Weight loss,Thirst,Aspiration pneumonia,,,,,,,
Pneumonia-Interstitial,Both,Below Five,Tachypnea,Coughing,respiratory difficulty,Exercise intolerance,Open mouth breathing,end inspiratory and early expiratory crackles,orthopnea,Cyanosis,hemoptysis,Vomiting,Oliguria,Diarrhea,Retinitis,Uveitis,difficult to breath
Hiatal Hernia,Male,common,Coughing,Nasal discharge,Hypersalivation,Regurgitation,Weight loss,Lack of appetite,Shortness of breath,,,,,,,,
Sporotrichosis,Both,common,Lesions,crust over,Fever,Malaise,Licking at the site,Loss of Appetite,,,,,,,,,
Chorioretinitis ,Male,common,Not usually painful,Vitreous abnormalities,Hemorrhage,blood vessels,Lesions,Inactive (scars) discrete margin,shyperreflective in the tapetum,sometimes with hyperpigmented central areas,,,,,,,
Car Ride Anxiety ,Both,common,Signs of fear and anxiety vary between individuals,Pacing,Restlessness,Inappetance,vigilance,excitability,Vocalization,Distress Vocalization,,,,,,,
Acral Lick Dermatitis,Both,common,Excessive licking of the affected area,Lesions,Firm,Firm,Firm,,,,,,,,,,
Horner?s Syndrome,Both,common,Drooping of the eyelid,Constricted pupil of the affected eye,Sunken appearance of the affected eye,third eyelid,Vision may be impaired,,,,,,,,,,
Battery Toxicosis ,Both,common,Abdominal pain,Black tarry feces,Difficulty swallowing,Drooling,Fever,Increase in white blood cells,Lack of appetite,Lethargy,Mouth pain,Ulcers in the mouth,Ulcers on tongue,Vomiting,Oral Ulcerations,Bad breath,
Oliguria and Anuria ,Female,Below Ten,Decrease in development of urine,Dehydration,shock,Vomiting,lethary,Loss of Appetite,Weight loss,weak pulse,,,,,,,
Food Reactions-Gastrointestinal,Both,Below Ten,Loss of Appetite,Vomiting,Diarrhoea,Constipation,Excess gas or Flatulence,Straining when passing stools,Blood or mucus in the stools,,,,,,,,
