Disease ,Gender,Age,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Exocrine Pancreatic Insufficiency,both,common,stomach problems,Weight loss,Diarrhea,Weight loss,Lethargy,Loud rumbling sounds from the stomach,Frequent bowel movements,Frequent gas,,,,,,,
Corneal and Scleral Lacerations ,both,common,Varies with tissues affected,corneal,scleral,eyelid deformity,edema,Hemorrhage,May see a retained foreign body,Often rapidly seals,subconjunctival hematoma,May also see iris defects,pupil distortion,Hyphema,cataract,vitreal Hemorrhage,Dilated pupils
Pelvic Bladder,both,five,Asymptomatic,Incontinence can be intermittent,Conscious voiding patterns often present,Urgency with small volume elimination,Perineum stained or soaked with urine,urine scalding,wet vulva or prepuce,,,,,,,,
Atherosclerosis ,male,five,Lethargy,Anorexia,Weakness,Dyspnea,Collapse,Vomiting,Diarrhea,,,,,,,,
Atrial Standstill,female,five,Abdominal distention,Coughing,Cyanosis,Difficulty breathing,Muscle wasting,Lethargy,,,,,,,,,
Nasal and Nasopharyngeal Polyps ,both,common,Chronic,Noisy breathing,Nasal congestion or discharge,Sneezing,Unilateral,Generally non-responsive to antibiotics,Nasopharyngeal or Aural Polyps,Stridor,Gagging,Cyanosis,Voice change,Dysphagia,Chronic,ataxia,Head tilt
Q Fever,both,common,Fever,Lethargy,Anorexia,Depression,Incoordination,Seizures,Miscarriage,,,,,,,,
Hookworms,both,common,Anemia,Pale gums,Weakness,Weight loss,Diarrhea,Itchy paws,Poor growth,Sudden death,Dry Coughing,,,,,,
Gallbladder Mucocele,both,common,Loss of Appetite,Lethargy,Vomiting,Diarrhea,Lack of appetite,Jaundice,Abdominal discomfort or pain,Fever,Abdominal distension,Dehydration,Excessive urination,Excessive thirst,Collapse,,
Pulmonary Contusions,both,common,History of blunt Trauma,Tachypnea,Abnormal respiratory effort,Postural adaptations to Respiratory distress,Pale mucous membranes,Auscultation of harsh bronchovesicular sounds or crackles,Expectoration of blood or blood-tinged fluid,Concurrent signs of shock can be present,blunt force Trauma,,,,,,
Proptosis,both,common,Subconjunctival or intraocular Hemorrhage,dilated pupil,Intraocular inflammation,Globe deviation or strabismus or rupture,Corneal Ulceration or desiccatio,Periocular bite wounds,Fractures of the bony orbit or skull,Systemic injuries,Trauma to the contralateral eye,,,,,,
Rabies,both,common,Disorientation,Incoordination,staggering may occur,caused by paralysis of the hind legs,Loss of Appetite,Weakness,Seizures,Sudden death,,,,,,,
Pneumonia-Interstitial,both,common,Tachypnea,Coughing,respiratory difficulty,Exercise intolerance,Open mouth breathing,end inspiratory and early expiratory crackles,orthopnea,Cyanosis,hemoptysis,Vomiting,Oliguria,Diarrhea,Retinitis,Uveitis,difficult to breath
Optic Neuritis and Papilledema,both,common,Acute Blindness,behavior changes,absent menace,absent dazzle,mydriatic and nonresponsive pupil,anisocoria if Unilaterally affected,usuallynormal anterior segment,hyperemia,congestion,dazzle present,normal pupillary light reflexes,normal anterior segment,swelling of optic nerve head,elevation of optic nerve head,
Synovial SarComa,both,ten,Limping,Swelling,Pain,Ulcerated sore in affected area,Fever,Loss of Appetite,Losing weight,Difficulty breathing,,,,,,,
Mediastinitis,both,common,Weakness,Dysphagia,Edema of head or neck and forelimbs,Polypnea,respiratory difficulty or obstructed breathing,Coughing,Fever,,,,,,,,
Heat Stroke and Hyperthermia,both,common,Drooling,Thick saliva,Bright red tongue and gums,Decreased urine output,Rapid heart rate,Irregular heart rate,Cardiopulmonary arrest,Breathing distress,Lethargy,Weakness,Change in mood,Muscle Tremors,Stiffness,Unstable gait,Dizziness
Metaldehyde Toxicosis ,both,common,toxicant,Seizures,hyperthermia,Restlessness,Salivation,Vomiting,Diarrhea,Tachycardia,Tachypnea,Hyperthermia,leading to DIC and multi-organ failure if uncontrolled,Ataxia,Tremors,Seizures,weight loss
Dermatomyositis,both,five,Lesions,Lesions,Lesions,tip of tail or pressure points,Muscle atrophy,Weakness,Mega-esophagus,,,,,,,,
Vaginal Malformations and Acquired Lesions ,female,common,Vulvar discharge,Excessive licking of vulva,Frequent or inappropriate urination,Stranguria or dyschezia,Urinary,incontinence,Attractive to males,Refuses mating,Mass at vulvar labia,Evidence of vaginal discharge,Recessed or hypoplastic vulva occasionally,,,,
