Symtom,Count
Mouth pain,1
Excessive licking of the affected area,2
Infections usually localized,3
Difficulty breathing,4
Sneezing,5
Fever,6
Tenesmus,7
Adenocarcinoma,8
Unilateral,9
Firm,10
Vomiting,11
movable mass in the neck,12
Administration of loop diuretics,13
Alopecia,14
Listlessness,15
Bloody saliva or blood from the nose,16
Drooling,17
A foul Odor,18
Scooting,19
Red or purple spots on the surface,20
occasionally icteric mucous membranes,21
Decreased growth rate,22
Tachycardia,23
Pallor,24
Different sized pupils,25
Stomatitis,26
Agitation,27
Arrhythmias may be ausculted,28
Absent or diminished femoral pulse,29
Lethargy,30
Stiffness,31
Depression,32
kinetic dependent,33
progressive ambulatory tetraparesis,34
Lesions,35
Galloping heart,36
CHF,37
cyanosis,38
Abdominal distention,39
Light-headedness,40
Extreme sleepiness or tiredness,41
Systolic click,42
Exercise intolerance,43
Collapse,44
Solitary,45
Abdominal pain,46
Intestinal form-none,47
Bloody urethral discharge,48
Therapeutic use of drug,49
Bradycardia,50
Frothy yellow vomit,51
Serous,52
Bumping into things,53
Restlessness,54
Diarrhea,55
Horner,56
Snoring,57
Seizures,58
color during estrus,59
Non healing ulcers in the oral,60
Vary greatly,61
Post-Infection,62
Signs of fear and anxiety vary between individuals,63
Drowsiness,64
Anorexia,65
Cardiac arrhythmias,66
ventricular premature complexes,67
tachypnea,68
Lack of response to stimulation,69
carnitine deficiency can be diverse,70
White eye,71
Hypermetria,72
Symmetrical,73
Ischemic stroke,74
Chronic,75
Red fundic reflex,76
Scaling,77
cacao hull Ingestion,78
Choledochitis,79
visible mass at the affected site,80
Voice change,81
Bilateral Epistaxis,82
Visible mass involving the mandible,83
Not usually painful,84
Hematoma formation,85
Often minor or no Bleeding,86
Watery-to-mucoid,87
acronym DISHA,88
Often a history of cold exposure,89
Neonates,90
Fecal consistency,91
Bloody,92
behaviors may be repetitive or static,93
Distortion of the spinal column,94
Blepharospasm,95
Straining to defecate with small or no fecal volume,96
Appear 7?14 days after contact with raccoon saliva,97
Varies with tissues affected,98
associated ocular or systemic disorders,99
Bilaterally cryptorchid animals are infertile,100
Dermatologic,101
Stridor,102
Adjoining bone,103
Conjunctival hyperemia,104
Panting,105
Relate to location in the gastrointestinal tract,106
Related to gastrointestinal tract,107
Lens instability and subluxation,108
Vary with age,109
Insidious,110
multiple Lipomas,111
Large and diffuse and soft tissue mass,112
Sudden onset of pain,113
Pollakiuria,114
Lumbosacral pain,115
Lymph node,116
Multicentric,117
erythema,118
Caudal mammary glands,119
Ingestion,120
Lipomas,121
Deficient Maternal Behavior,122
underlying risk factors resulting in the injury,123
Excessive salivation,124
Skin mass with variable growth rates,125
Vary with tumor location,126
Pleural effusion,127
toxicant,128
MalOdorous,129
Postpartum,130
Severe bone disease,131
Lameness,132
Psychoactive species,133
Regurgitation,134
Tuberculosis,135
Polyarthritis,136
